Refs,Value,Footprint,MFR,MPN,SPR,QTY,SPN
SW_BOT1;SW_TP1,SW_PUSH_SMALL_H,raffilibkicad:APEM_tactile_SMD_switch_6mm,APEM,ADTSM66NV,Mouser,2,642-ADTSM66NV
C1;C2;C4,22u,raffilibkicad:CP_Elec_7.3x4.3,Panasonic,EEF-CX1D220R,Mouser,3,667-EEF-CX1D220R
C5;C7;C8;C12;C11;C15;C26;C28;C27;C29,100n,raffilibkicad:C_0603,Wurth Electronics,8.85012E+11,Mouser,10,710-885012206095
C6,10u,raffilibkicad:C_0603,TDK,C1608X5R0J106M080AB,Mouser,1,810-C1608X5R0J106M
C3;C10;C14,1u,raffilibkicad:C_0603,Murata,GCJ188R71E105KA01D,Mouser,3,81-GCJ188R71E105KA1D
C22;C23;C24;C25,22p,raffilibkicad:C_0603,Kemet,C0603C220J5GACTU,Mouser,4,80-C0603C220J5G
C9;C16;C17;C18;C19;C20;C21;C13,470n,raffilibkicad:C_0603,Taiyo Yuden,EMK107B7474KA-T,Mouser,8,963-EMK107B7474KA-T
SW3;SW4,Rotary_Encoder_Switch,raffilibkicad:ENCODER_PEC11_SMD,Bourns,PEC11S-9215K-H0015,Mouser,2,652-PEC11S9215KH0015
L1;L2,100n,raffilibkicad:Inductor_PSU_NLCV32T,TDK,NLCV32T-R10M-PFR,Mouser,2,810-NLCV32T-R10M-PFR
L3,6u8,raffilibkicad:Inductor_SRN4018TA_bourns,Bourns,SRN4018TA-6R8M,Mouser,1,652-SRN4018TA-6R8M
G1,Display128x64OLED,raffilibkicad:OLED_DISPLAY_128_64_1_3_inch,,,,1,
J1,CONN_02X05,raffilibkicad:Pin_Header_Angled_2x05_Pitch2.54mm_with_space_for_con,Amphenol FCI,649-68020-110HLF,Mouser,1,68020-110HLF
R25;R26;R27;R28,100,raffilibkicad:R_0603,,,Mouser,4,603-RC0603FR-07100RL
R1;R23;R24;R35;R36;R12;R14;R16;R18;R37;R38;R39;R40,100k,raffilibkicad:R_0603,Vishay / Draloric,RCA0603100KJNEC,Mouser,13,71-RCA0603100KJNEC
R43;R44;R45;R46,220,raffilibkicad:R_0603,Vishay,CRCW0603220RFKEB,Mouser,4,71-CRCW0603220RFKEB
R31;R32;R33;R34,24k9,raffilibkicad:R_0603,Yageo,RC0603FR-0724K9L,Mouser,4,603-RC0603FR-0724K9L
R6,2k,raffilibkicad:R_0603,Yageo,RC0603FR-0724K9L,Mouser,1,603-RC0603FR-072KL
R29;R30;R41;R42;R19;R20;R21;R22,33k,raffilibkicad:R_0603,Panasonic,ERJ-3GEYJ333V,Mouser,8,667-ERJ-3GEYJ333V
R3,40k2,raffilibkicad:R_0603,,,Mouser,1,603-RC0805FR-0740K2L
R9;R10,47k,raffilibkicad:R_0603,Yageo,RC0603FR-0747KL,Mouser,2,603-RC0603FR-0747KL
R8;R7,510,raffilibkicad:R_0603,Yageo,RC0603FR-07510RL,Mouser,2,603-RC0603FR-07510RL
R2;R5;R11;R13;R15;R17,75k,raffilibkicad:R_0603,Bourns,CR0603-FX-2202ELF,Mouser,6,652-CR0603FX-2202ELF
R4,7k68,raffilibkicad:R_0603,,,Mouser,1,603-RC0805FR-077K68L
U4,AP2210N-3.3TRG1_/_SOT23-3,raffilibkicad:SOT-23,Diodes Incorporated,AP2210N-3.3TRG1,Mouser,1,621-AP2210N-3.3TRG1
D1,LM4040 5.0V,raffilibkicad:SOT-23,Texas Instruments,LM4040C50IDBZR,Mouser,1,595-LM4040C50IDBZR
Q1;Q2;Q3;Q4,MMBT3904,raffilibkicad:SOT-23,Nexperia,"MMBT3904,215",Mouser,4,771-MMBT3904T/R
U3,MP1469,raffilibkicad:SOT-23-6,MPS,MP1469GJ-Z,Mouser,1,946-MP1469GJZ
U5,MCP6004,raffilibkicad:TSSOP-14_4.4x5mm_Pitch0.65mm,Microchip,MCP6004T-I/ST,Mouser,1,579-MCP6004T-I/ST
U6,TL074,raffilibkicad:TSSOP-14_4.4x5mm_Pitch0.65mm,Texas Instruments,TL074CPWR,Mouser,1,595-TL074CPWR
U2,DAC8565,raffilibkicad:TSSOP-16_4.4x5mm_Pitch0.65mm,Texas Instruments,DAC8565ICPW,Mouser,1,595-DAC8565ICPW
U1,Teensy3.2,raffilibkicad:Teensy_3_2,SparkFun,DEV-13736,Mouser,1,474-DEV-13736
TR4;TR3;TR2;TR1;CVD1;CVC1;CVB1;CVA1;CV4;CV3;CV2;CV1,JACK_QINGPU,raffilibkicad:jack_qingpu,,,,12,
